step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,vanguardia-y-concretismo,0.7259138518934327,0.49227262633653224,1.389312,,How does the poem layout help show the speaker's journey from place to place?,"The poems shows the speaker traveling by naming the different cities, rivers, mountains, and other places. It describes his journey as he keeps moving forward to new places. ",,Learn more,avantgarde-learn-more.md,,,,,
2,vanguardia-y-concretismo-4,0.5,0.5,1,,How does the way the words are written in the picture show change and continuity?,"The poem changes the normal way we read by placing words in different and shapes, but the words still describe Havana and its history. This shows change because the writing style is different, while the meaning and connection to the past stay continuous. ",,Learn more,avantgarde-step2-layer1.md,,,,,
3,vanguardia-y-concretismo-3,0.47968605724838376,0.4946043165467621,0.9000000000000001,,What is this picture showing about the Spanish language?,"The picture shows Spanish beiing used in an Indigenous American context, with words written to represent how they are pronounced. It also talks about Indigenous languages and how they connect to Spanish.",,Learn more,avantgarde-step3-layer1.md,,,,,
4,vanguardia-y-concretismo-2,0.48825880121552895,0.4635086706753999,0.9,,How does the picture show that poetry can change the way we use words?,"The picture explains how concrete poetry can change the way we understand words and language. It shows that poetry can focus more on how words work together to communicate an idea, instead of just telling a story. ",,Learn more,avantgarde-step4-layer1.md,,,,,
5,vanguardia-y-concretismo-5,0.5,0.5,1,,How does this picture show a different way of making poetry?,"The picture shows poetry being made by combining words, ideas, and visual design instead of just writing regular lines. It gives the reader a different way to understand the poem and what it is trying to say.",,Learn more,avantgarde-step5-layer1.md,,,,,
