step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,guaman-poma-nueva,0.5,0.5,1,,Why does Guaman Poma use this image as an introduction?,"As Bauer explains, he is explicit that the chronicle is not an anti-Spanish colonial text/book. Guamán Poma appeals to the King's authority, not rejecting it. This manuscript was intended for King Philip III of Spain as a petition to address the abuses of the colonial regime and defend Andean history. ",,,,,,,,
2,guaman-poma-nueva-3,0.5,0.5,1,," Why was Catholic imagery, important for Guamán Poma to include?","The Catholic images fill the gap for his audience, giving reassurance and something the Spanish also recognize and accept, so they can see and understand the history of the Andes. Poma is also a Catholic person who is subject to the King of Spain; he proves his legitimacy. ",,"Contextual Evidence ",final-group-project-learn-more.md,,,,,
3,guaman-poma-nueva-4,0.5,0.5,1,,Why does Poma use Adam and Eve?,"Poma opens with the Judeo-Christian creation story to root Peru in a timeline that his Christian audience would already accept as legitimate history. Starting from Genesis and claims Peru as part of a universal history rather than a ""New World."" ",,,,,,,,
4,guaman-poma-nueva-6,0.5,0.5,1,,"How does this work as a compare and contrast? ","This is the Andean counterpart to Adam and Eve, a primitive first man and woman standing in for the earliest stage of Andean history. He has structured this  to set Inka history as a parallel to Peru's ""Genesis.""",,,,,,,,
5,guaman-poma-nueva-6,0.4205287050512894,0.5453164715174532,1.3348002417360905,,"What contuines from Andean memory even after its rewritten into bibilical terms? ","Poma keeps the core Andean claim that Peru has a deep and legitimate past. However, the continuation is primarly translated into Christian chronology. The content has survived like this, beginning in Andean history, but in a form the Spanish crown can accept. ",,,,,,,,
