step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,khipu-picture-3,0.5,0.5,1,,What does the Khipu show about how records were kept?,"The khipu has many cords that hang from one long main cord, showing that each strand holds a separate piece of information. Each cord carries data through knots, placement, and sometimes the color if the cords worked together to store and organize information in a structured way. ",,Discover more,khipu-the-khipu-as.md,,,,,
2,haptic-khipu-phd,0.52525248672023,0.5659203600527638,1.5,,Who wrote these stories and where?,"The people who wrote these stories were the quipucamayus, which means one who has charge of the accounts. Their role was to write and keep records for the Inca republic. In the picture, PhD student Alida Jekabson examines this khipu at UC Santa Barbara’s Art, Design and Architecture Museum, showing how the study of these records continues today.",,DIscover more,khipu-the-quipucamayus-and.md,,,,,
3,haptic-khipu-a,0.5147623172956127,0.33854591538693524,1.5552,,Why are the knots in this section a darker shade of brown?,"Before the Inca were introduced to alphabetic writing, they relied entirely on knots to communicate information. Because the cords had to carry different kinds of meaning, the Inca made threads in various color hues to show that each cord held a separate type of information. The darker shade of brown in this section signals that this part of the khipu had its own meaning within the larger record.",,Discover more,khipu-learn-more.md,,,,,
4,haptic-khipu-cluster,0.5234993302502395,0.5095486243565878,1.5075000000000003,,How do the knots on each cord show numbers?,"Each cord has a different number of knots tied along it, showing different values. In the image, cords vary from one to four knots placed at different heights, forming a visible rhythm of counts. This pattern reflects how the Inca used knots to record quantities such as men who went to war, births, and deaths, creating a tactile record that officials consulted to gather information.",,Discover more,khipu-step4-layer1.md,,,,,
5,haptic-khipu-hyperspectral,0.442707013275363,0.5882420334339077,1.125,,Can the stories recorded in the khipu still be read in present?,"The Inca histories were recorded by quipucamayus through knots, and those histories have been lost. Under Spanish colonial rule, the Inca were pressured to adopt the Latin alphabet, which ended the tradition of using the khipu as a record keeping system. Today we can study the cords with modern tools, but the stories themselves cannot be recovered. ",,Discover more,khipu-step5-layer1.md,,,,,
